캠퍼스,Campus,건물명,Naver map link,Abbreviations (Nicknames),Building Name,"건물코드
 (Building Code)"
서울(인문사회계),Seoul Campus (Humanities and Social Science area),중앙도서관(대학원),https://naver.me/xv31z1LI,중도,Graduate School,102
서울(인문사회계),Seoul Campus (Humanities and Social Science area),문과대학(서관),https://naver.me/FQVDFIah,서관,College of Liberal Arts,103
서울(인문사회계),Seoul Campus (Humanities and Social Science area),사범대학본관,https://naver.me/IDFPAM1W,사범대 본관,College of Education Building #1.,105
서울(인문사회계),Seoul Campus (Humanities and Social Science area),대강당,https://naver.me/5PVaoZYb,강당,Auditorium,106
서울(인문사회계),Seoul Campus (Humanities and Social Science area),우당교양관,https://naver.me/xZjAYWQa,교양관,Woodang Hall,108
서울(인문사회계),Seoul Campus (Humanities and Social Science area),사범대학신관,https://naver.me/5IS5JmaL,사범대 신관,College of Education Building #2.,110
서울(인문사회계),Seoul Campus (Humanities and Social Science area),경영본관,https://naver.me/GeUSME5l,경영관,Business School Main Building,115
서울(인문사회계),Seoul Campus (Humanities and Social Science area),CJ법학관(구관),https://naver.me/I55MXyyx,법학 구관,College of Law Annex,130
서울(인문사회계),Seoul Campus (Humanities and Social Science area),정경대,https://naver.me/5S9iO14l,정경관,Sangnam Political Science & Economics Building,131
서울(인문사회계),Seoul Campus (Humanities and Social Science area),체육생활관,https://naver.me/G9pDWneS,,Sports and Fitness Center,132
서울(인문사회계),Seoul Campus (Humanities and Social Science area),인촌기념관,https://naver.me/xk18emnu,,Inchon Memorial Hall,133
서울(인문사회계),Seoul Campus (Humanities and Social Science area),교우회관,https://naver.me/GV2th40D,교우회관 식당,Alumni Hall,
서울(인문사회계),Seoul Campus (Humanities and Social Science area),4.18기념관,https://naver.me/x5GufnKQ,418,4.18 Memorial Hall,137
서울(인문사회계),Seoul Campus (Humanities and Social Science area),국제관,https://naver.me/xAFXJNkw,,International Studies Hall,138
서울(인문사회계),Seoul Campus (Humanities and Social Science area),법학관(신관),https://naver.me/xAFXJNkw,법학관신관,College of Law,139
서울(인문사회계),Seoul Campus (Humanities and Social Science area),라이시움(평생교육원),https://naver.me/Ghbq7zqk,,KU Lyceum,140
서울(인문사회계),Seoul Campus (Humanities and Social Science area),중앙광장,https://naver.me/5z58PB4p,중광,Central Plaza,141
서울(인문사회계),Seoul Campus (Humanities and Social Science area),LG-POSCO경영관,https://naver.me/xrSGckCU,LP,LG-POSCO (L-P) Hall,142
서울(인문사회계),Seoul Campus (Humanities and Social Science area),해송법학도서관,https://naver.me/FJbCNFiL,,Haesong Law Library,145
서울(인문사회계),Seoul Campus (Humanities and Social Science area),운초우선 교육관,https://naver.me/5dAPQVzr,교육관,UNCHO-USEON Hall,148
서울(인문사회계),Seoul Campus (Humanities and Social Science area),미디어관,https://naver.me/FRLbP93J,,Media Hall,149
서울(인문사회계),Seoul Campus (Humanities and Social Science area),CJ법학관,https://naver.me/I55MXyyx,CJ,CJ Law Hall,150
서울(인문사회계),Seoul Campus (Humanities and Social Science area),현대자동차경영관,https://naver.me/GeUSME5l,현차관,Hyundai Motor Hall,151
서울(인문사회계),Seoul Campus (Humanities and Social Science area),SK미래관,https://naver.me/GzEDe2bI,에미관,SK Future Hall,152
서울(자연계),Seoul Campus (Natural Science area),생명과학관(서관),https://naver.me/G1wxLrNo,,College of Life Sciences & Biotechnology West Building,208
서울(자연계),Seoul Campus (Natural Science area),과학도서관,https://naver.me/5xjpoNaz,과도,Science & Engineering Library,216
서울(자연계),Seoul Campus (Natural Science area),제2실험관,https://naver.me/xtgfPorj,,Laboratory Building 2,223
서울(자연계),Seoul Campus (Natural Science area),공학관,https://naver.me/F42Mm6OX,,College of Engineering Building,240
서울(자연계),Seoul Campus (Natural Science area),산학관,https://naver.me/x2jClfZg,,Techno Complex,241
서울(자연계),Seoul Campus (Natural Science area),아산이학관,https://naver.me/xTT2vzBL,,College of Science Building,242
서울(자연계),Seoul Campus (Natural Science area),애기능생활관,https://naver.me/GALRqSmD,"애기능, 애기능 식당, 자연계 학생식당",Aegineung Student Cntr,243
서울(자연계),Seoul Campus (Natural Science area),생명과학관(동관),https://naver.me/5huccvfp,,College of Life Sciences & Biotechnology East Building,245
서울(자연계),Seoul Campus (Natural Science area),창의관,https://naver.me/xpr358CQ,,Innovation Building,246
서울(자연계),Seoul Campus (Natural Science area),Hana Square,https://naver.me/FTXwfLCn,하스,Hana Square,247
서울(자연계),Seoul Campus (Natural Science area),CJ식품안전관,https://naver.me/5k7wFMCS,cj,CJ Food Safety Research Building,248
서울(자연계),Seoul Campus (Natural Science area),미래융합기술관,https://naver.me/G1wJ1OW7,,Center for Future Converging Technology,249
서울(자연계),Seoul Campus (Natural Science area),우정정보통신관,https://naver.me/FSw7JFMF,정보관,Woojung Hall of Informatics,251
서울(자연계),Seoul Campus (Natural Science area),로봇융합관,https://naver.me/xP89jprd,,Robot Convergence Building,250
서울(자연계),Seoul Campus (Natural Science area),하나과학관,"
https://naver.me/5CW2OsAz",하곽,Hana Science Hall,252
서울(자연계),Seoul Campus (Natural Science area),신공학관,https://naver.me/GeUOchLh,신공,New Engineering Hall,253
서울(자연계),Seoul Campus (Natural Science area),정운오IT교양관,https://naver.me/GPdYvCNz,정운오,Jung Woonoh IT & General Education Center,255
서울(녹지),Seoul Campus (Medical/Nokgee area),의과대학 제1의학관,https://naver.me/F74mz6w9,,College of Medicine Medical Building#1,301
서울(녹지),Seoul Campus (Medical/Nokgee area),KU R&D 센터,https://naver.me/5CW7Wdv7,,KU R&D Center,319
서울(녹지),Seoul Campus (Medical/Nokgee area),화정체육관,https://naver.me/GdymhkvA,화정,Hwajeong Tiger Dome,327
서울(녹지),Seoul Campus (Medical/Nokgee area),의과대학 본관,https://naver.me/FBe2iKRg,,College of Medicine Main Building,351
서울(녹지),Seoul Campus (Medical/Nokgee area),우정간호학관,https://naver.me/FsRNSiXO,간호학관,College of Nursing Woojung Hall,352
서울(자연계),Seoul Campus (Natural Science area),송현스퀘어,https://naver.me/FMcLJTXP,애기능학생회관,Songhyeon Square,
